code 	genes	transcripts	mRNA
Anan1	99486	35692	0
Avag1	49300	0	49300
Dcor1	0	0	34424
Dpac1	27341	0	38423
Fcan1	28734	0	28734
Hduj1	19700	0	20480
Lcla1	49568	0	50004
Mare1	103000	0	101269
Mare2	30308	0	30308
Ment1	31051	0	31051
Mflo1	14414	0	14414
Minc1	45351	0	43718
Minc2	24714	0	24714
Mjav1	98578	0	97208
Mjav2	25697	0	25697
Obir1	13438	747	22760
Pdav1	94938	31646	0
Pfor1	31997	789	49495
Ps591	74547	27350	0
Ps791	54189	18063	0
Psam1	39150	0	40530
Pvir1	21773	0	22206
Rvar1	13920	0	14532
Tpre1	13200	0	13200
Aric1	55801	0	58489
Rmac1	26284	0	26284
Rmag1	36377	0	37380
